,Unnamed: 0,epoch,phase,loss,overall_dice,diastolic_dice,systolic_dice,time_taken,intersection_size,gpu_memory_allocated,gpu_memory_reserved,batch_size,model
0,0,0,train,0.1067619027612797,0.7654435024025804,0.7401085580460467,0.783343510699528,66.24963307380676,7456,7233432576,7910457344,32,ResNet101
1,1,0,val,0.0484426256700347,0.8948786130934924,0.8762382417916442,0.9068080102159836,6.986914157867432,1288,1439695360,7910457344,32,ResNet101
2,2,1,train,0.0479037263007697,0.8952393844094526,0.8754998381190033,0.907776691835834,66.70872044563293,7456,7233432576,7910457344,32,ResNet101
3,3,1,val,0.0458015766354141,0.8984134371877182,0.884425187366167,0.9075214728637628,6.72260856628418,1288,1439695360,7910457344,32,ResNet101
4,4,2,train,0.0423276699747274,0.9066751289226644,0.8883732222427978,0.9180941265239853,66.65597605705261,7456,7233432576,7910457344,32,ResNet101
5,5,2,val,0.045165440869703,0.9040913330708534,0.8846146666597824,0.9165907738265922,6.917739629745483,1288,1439695360,7910457344,32,ResNet101
6,6,3,train,0.0404431234049673,0.9102739343048316,0.8924867237239479,0.9213376644568358,67.67735695838928,7456,7233432576,7910457344,32,ResNet101
7,7,3,val,0.041958464402363,0.910148264560912,0.8880686859832405,0.9243214455675676,6.880975008010864,1288,1439695360,7910457344,32,ResNet101
8,8,4,train,0.0393599460032458,0.9128033986225936,0.896005364212973,0.9232368006046876,67.75713443756104,7456,7233432576,7910457344,32,ResNet101
9,9,4,val,0.0389374669989277,0.912714972974826,0.8974315581734477,0.9223954636428552,6.899836778640747,1288,1439695360,7910457344,32,ResNet101
10,10,5,train,0.0386428190549409,0.9139665781115262,0.8970938969235247,0.9244534113804702,68.10816955566406,7456,7233432576,7910457344,32,ResNet101
11,11,5,val,0.0380861680911723,0.9169745940481436,0.8998835536175587,0.9277747049312416,6.812618732452393,1288,1439695360,7910457344,32,ResNet101
12,12,6,train,0.0370221940107663,0.917582144366409,0.901227832002493,0.9277026705759704,67.10240197181702,7456,7233432576,7910457344,32,ResNet101
13,13,6,val,0.0399044678833475,0.9141419954788086,0.8926576279352102,0.9279572703497436,7.00751805305481,1288,1439695360,7910457344,32,ResNet101
14,14,7,train,0.0363025353294627,0.91873892028558,0.9025995255374388,0.9287229272711568,66.99601697921753,7456,7233432576,7910457344,32,ResNet101
