,epoch,phase,loss,overall_dice,diastolic_dice,systolic_dice,time_taken,intersection_size,gpu_memory_allocated,gpu_memory_reserved,batch_size
0,0,train,0.1067619027612797,0.7654435024025804,0.7401085580460467,0.783343510699528,66.24963307380676,7456,7233432576,7910457344,32
1,0,val,0.0484426256700347,0.8948786130934924,0.8762382417916442,0.9068080102159836,6.986914157867432,1288,1439695360,7910457344,32
2,1,train,0.0479037263007697,0.8952393844094526,0.8754998381190033,0.907776691835834,66.70872044563293,7456,7233432576,7910457344,32
3,1,val,0.0458015766354141,0.8984134371877182,0.884425187366167,0.9075214728637628,6.72260856628418,1288,1439695360,7910457344,32
4,2,train,0.0423276699747274,0.9066751289226644,0.8883732222427978,0.9180941265239853,66.65597605705261,7456,7233432576,7910457344,32
5,2,val,0.045165440869703,0.9040913330708534,0.8846146666597824,0.9165907738265922,6.917739629745483,1288,1439695360,7910457344,32
6,3,train,0.0404431234049673,0.9102739343048316,0.8924867237239479,0.9213376644568358,67.67735695838928,7456,7233432576,7910457344,32
7,3,val,0.041958464402363,0.910148264560912,0.8880686859832405,0.9243214455675676,6.880975008010864,1288,1439695360,7910457344,32
8,4,train,0.0393599460032458,0.9128033986225936,0.896005364212973,0.9232368006046876,67.75713443756104,7456,7233432576,7910457344,32
9,4,val,0.0389374669989277,0.912714972974826,0.8974315581734477,0.9223954636428552,6.899836778640747,1288,1439695360,7910457344,32
10,5,train,0.0386428190549409,0.9139665781115262,0.8970938969235247,0.9244534113804702,68.10816955566406,7456,7233432576,7910457344,32
11,5,val,0.0380861680911723,0.9169745940481436,0.8998835536175587,0.9277747049312416,6.812618732452393,1288,1439695360,7910457344,32
12,6,train,0.0370221940107663,0.917582144366409,0.901227832002493,0.9277026705759704,67.10240197181702,7456,7233432576,7910457344,32
13,6,val,0.0399044678833475,0.9141419954788086,0.8926576279352102,0.9279572703497436,7.00751805305481,1288,1439695360,7910457344,32
14,7,train,0.0363025353294627,0.91873892028558,0.9025995255374388,0.9287229272711568,66.99601697921753,7456,7233432576,7910457344,32
15,7,val,0.0379503943920437,0.9171057623436752,0.897449159430261,0.9297442844184888,7.016864776611328,1288,1439695360,7910457344,32
16,8,train,0.0352057480317151,0.920891526398734,0.9050313022415928,0.9306872464155156,67.66019368171692,7456,7233432576,7910457344,32
17,8,val,0.0394920569013802,0.9111832599510756,0.9004359127613593,0.917936364454868,6.998375415802002,1288,1439695360,7910457344,32
18,9,train,0.0345820699419294,0.921998904726299,0.906663124651758,0.9314747213121572,67.1038224697113,7456,7233432576,7910457344,32
19,9,val,0.0373496502762527,0.9187962541633342,0.9032483540900632,0.9287130466848154,7.0403971672058105,1288,1439695360,7910457344,32
20,10,train,0.0341640561310059,0.9230516462803052,0.907984129355122,0.9323535553521152,67.97433948516846,7456,7233432576,7910457344,32
21,10,val,0.0403193892567069,0.913823467200202,0.8928006799217801,0.9273035724732056,7.082769393920898,1288,1439695360,7910457344,32
22,11,train,0.0340302981292031,0.9234851253716077,0.9083477074726596,0.9328381546477026,66.80636668205261,7456,7233432576,7910457344,32
23,11,val,0.0374345476749143,0.9190850203111648,0.9024567348917434,0.9296023594653816,6.731604337692261,1288,1439695360,7910457344,32
24,12,train,0.0333698451795709,0.9246281033915168,0.9099821891790024,0.9336797123806072,66.77060508728027,7456,7233432576,7910457344,32
25,12,val,0.0371040199657918,0.9195229212709882,0.9021002808957568,0.9306368406787096,7.227648496627808,1288,1439695360,7910457344,32
26,13,train,0.0325925092704661,0.9262462642129236,0.9118300218792502,0.9351497112597292,67.4920380115509,7456,7233432576,7910457344,32
27,13,val,0.0386237554910412,0.913174533268666,0.9003821891495246,0.9211452217716948,6.872765064239502,1288,1439695360,7910457344,32
28,14,train,0.032214597393546,0.92708395847764,0.9124084133108932,0.936152573624198,66.89178347587585,7456,7233432576,7910457344,32
29,14,val,0.0440714218752785,0.9069265407875372,0.8845408578335013,0.9213186942990452,6.852082252502441,1288,1439695360,7910457344,32
30,15,train,0.0316866634710037,0.9281996504175568,0.913959942856868,0.9369889592112371,68.03016996383667,7456,7233432576,7910457344,32
31,15,val,0.0366632346191822,0.9213338088570502,0.9052158932087786,0.9316102631333012,6.948891639709473,1288,1439695360,7910457344,32
32,16,train,0.0312220116489414,0.929111331353038,0.9152385241632902,0.9376734562572848,67.57946562767029,7456,7233432576,7910457344,32
33,16,val,0.0363117109944965,0.9210768935524484,0.9081038819394256,0.9292873274571,6.785665273666382,1288,1439695360,7910457344,32
34,17,train,0.0303363762564256,0.93117203473762,0.9172923907501808,0.9397338048294022,66.8593225479126,7456,7233432576,7910457344,32
35,17,val,0.0382568849660791,0.9179500678571484,0.9018806509798856,0.92814138192444,6.897928714752197,1288,1439695360,7910457344,32
36,18,train,0.0303116164441763,0.9311044554856844,0.917065703166832,0.9397694677335978,66.54694819450378,7456,7233432576,7910457344,32
37,18,val,0.0399170522681357,0.9125293047183756,0.9021164789862174,0.9190512024314172,7.144246339797974,1288,1439695360,7910457344,32
38,19,train,0.0297109304819694,0.9323144770877704,0.9187759473091373,0.9406632082729172,67.27778458595276,7456,7233432576,7910457344,32
39,19,val,0.0380311125901461,0.9179482278475533,0.9057518441264228,0.9256059424177852,6.968560695648193,1288,1439695360,7910457344,32
40,20,train,0.0293316291804237,0.933267982257702,0.919673918065538,0.9416586235153136,66.93082594871521,7456,7233432576,7910457344,32
41,20,val,0.0412479310997358,0.9104920453874308,0.9023061924292342,0.9156358594711128,7.170119285583496,1288,1439695360,7910457344,32
